# Pure Hydrogen Grid from http://www.astro.umontreal.ca/~bergeron/CoolingModels/
# Teff,log g,Mass,Abs V,BCv,Abs Bol,Abs G
12000,7.5,0.344,11.152,-0.766,10.386,11.097
13000,7.5,0.347,10.948,-0.919,10.029,10.897
14000,7.5,0.35,10.76,-1.062,9.697,10.713
15000,7.5,0.353,10.582,-1.194,9.388,10.541
16000,7.5,0.356,10.418,-1.32,9.098,10.381
17000,7.5,0.359,10.27,-1.445,8.825,10.239
18000,7.5,0.362,10.142,-1.574,8.567,10.114
19000,7.5,0.366,10.033,-1.71,8.323,10.009
20000,7.5,0.369,9.944,-1.854,8.091,9.922
21000,7.5,0.372,9.879,-2.01,7.869,9.857
22000,7.5,0.375,9.841,-2.184,7.657,9.82
23000,7.5,0.379,9.809,-2.354,7.455,9.788
24000,7.5,0.382,9.771,-2.51,7.261,9.749
25000,7.5,0.385,9.72,-2.645,7.076,9.697
26000,7.5,0.388,9.661,-2.764,6.897,9.636
27000,7.5,0.39,9.601,-2.876,6.725,9.574
28000,7.5,0.393,9.541,-2.982,6.56,9.512
29000,7.5,0.396,9.483,-3.083,6.399,9.451
30000,7.5,0.399,9.425,-3.181,6.245,9.392
31000,7.5,0.401,9.371,-3.274,6.097,9.336
32000,7.5,0.404,9.315,-3.363,5.951,9.278
33000,7.5,0.407,9.258,-3.449,5.81,9.22
34000,7.5,0.41,9.203,-3.531,5.672,9.163
35000,7.5,0.413,9.148,-3.61,5.539,9.107
36000,7.5,0.417,9.089,-3.685,5.404,9.047
37000,7.5,0.42,9.034,-3.757,5.277,8.99
38000,7.5,0.423,8.979,-3.825,5.154,8.934
39000,7.5,0.426,8.923,-3.889,5.033,8.876
40000,7.5,0.429,8.865,-3.949,4.915,8.817
42500,7.5,0.437,8.719,-4.087,4.632,8.669
45000,7.5,0.444,8.534,-4.168,4.367,8.48
47500,7.5,0.452,8.316,-4.203,4.113,8.252
50000,7.5,0.459,8.241,-4.367,3.874,8.175
52500,7.5,0.466,8.19,-4.544,3.646,8.122
55000,7.5,0.472,8.147,-4.717,3.43,8.078
57500,7.5,0.454,8.161,-4.882,3.279,8.091
60000,7.5,0.484,8.065,-5.039,3.025,7.994
65000,7.5,0.5,7.97,-5.329,2.641,7.898
70000,7.5,0.516,7.875,-5.59,2.285,7.802
3250,8,0.567,17.785,-1.021,16.765,17.079
3500,8,0.567,17.247,-0.805,16.443,16.645
3750,8,0.567,16.773,-0.63,16.143,16.259
4000,8,0.568,16.36,-0.497,15.862,15.915
4250,8,0.568,15.982,-0.383,15.599,15.599
4500,8,0.568,15.646,-0.296,15.35,15.312
4750,8,0.568,15.341,-0.226,15.115,15.05
5000,8,0.568,15.069,-0.177,14.891,14.812
5250,8,0.569,14.821,-0.142,14.678,14.593
5500,8,0.57,14.593,-0.118,14.475,14.389
5750,8,0.571,14.383,-0.103,14.28,14.199
6000,8,0.572,14.189,-0.095,14.094,14.023
6250,8,0.572,14.008,-0.093,13.915,13.856
6500,8,0.573,13.839,-0.096,13.743,13.701
6750,8,0.574,13.682,-0.104,13.578,13.555
7000,8,0.574,13.535,-0.115,13.419,13.417
7500,8,0.575,13.266,-0.148,13.118,13.164
8000,8,0.576,13.027,-0.191,12.836,12.936
8500,8,0.577,12.824,-0.253,12.57,12.742
9000,8,0.578,12.633,-0.313,12.32,12.558
9500,8,0.579,12.464,-0.38,12.083,12.394
10000,8,0.58,12.312,-0.454,11.859,12.247
11000,8,0.583,12.05,-0.609,11.441,11.99
12000,8,0.584,11.829,-0.769,11.059,11.773
13000,8,0.586,11.634,-0.925,10.709,11.582
14000,8,0.588,11.456,-1.073,10.384,11.408
15000,8,0.59,11.29,-1.209,10.081,11.246
16000,8,0.591,11.133,-1.335,9.797,11.094
17000,8,0.593,10.988,-1.457,9.531,10.954
18000,8,0.595,10.861,-1.581,9.28,10.831
19000,8,0.596,10.752,-1.71,9.042,10.725
20000,8,0.598,10.66,-1.844,8.816,10.636
21000,8,0.6,10.585,-1.984,8.601,10.562
22000,8,0.601,10.53,-2.134,8.396,10.507
23000,8,0.603,10.496,-2.297,8.2,10.474
24000,8,0.605,10.471,-2.459,8.012,10.448
25000,8,0.607,10.441,-2.61,7.831,10.418
26000,8,0.609,10.402,-2.745,7.658,10.379
27000,8,0.61,10.356,-2.866,7.491,10.332
28000,8,0.612,10.306,-2.976,7.33,10.28
29000,8,0.614,10.255,-3.08,7.174,10.228
30000,8,0.615,10.203,-3.179,7.024,10.174
31000,8,0.618,10.15,-3.273,6.877,10.12
32000,8,0.62,10.1,-3.364,6.736,10.067
33000,8,0.621,10.05,-3.45,6.6,10.016
34000,8,0.623,10,-3.533,6.467,9.965
35000,8,0.624,9.952,-3.613,6.339,9.914
36000,8,0.626,9.903,-3.69,6.213,9.864
37000,8,0.628,9.855,-3.763,6.092,9.814
38000,8,0.629,9.806,-3.833,5.973,9.765
39000,8,0.631,9.758,-3.9,5.857,9.715
40000,8,0.633,9.709,-3.964,5.745,9.665
42500,8,0.636,9.582,-4.107,5.475,9.534
45000,8,0.64,9.44,-4.22,5.22,9.39
47500,8,0.644,9.229,-4.251,4.979,9.172
50000,8,0.648,9.097,-4.349,4.749,9.032
52500,8,0.652,9.046,-4.516,4.53,8.978
55000,8,0.656,9.009,-4.687,4.322,8.94
57500,8,0.659,8.978,-4.853,4.125,8.908
60000,8,0.663,8.945,-5.013,3.932,8.874
65000,8,0.671,8.881,-5.309,3.573,8.809
70000,8,0.678,8.814,-5.575,3.239,8.74
3250,8.5,0.898,18.596,-1.081,17.515,17.877
3500,8.5,0.898,18.058,-0.864,17.194,17.443
3750,8.5,0.898,17.568,-0.674,16.894,17.044
4000,8.5,0.898,17.138,-0.525,16.614,16.69
4250,8.5,0.898,16.755,-0.405,16.35,16.37
4500,8.5,0.899,16.416,-0.314,16.102,16.08
4750,8.5,0.899,16.11,-0.243,15.867,15.816
5000,8.5,0.899,15.832,-0.187,15.644,15.573
5250,8.5,0.899,15.581,-0.149,15.432,15.352
5500,8.5,0.899,15.353,-0.123,15.23,15.148
